acl,E
acl:relcl,A
advcl,H
advmod,D
amod,E
appos,E
aux,F
auxpass,F
case,R
cc,N
ccomp,A
compound,E
compound:prt,A
conj,C
cop,F
dep,C
det,E
dobj,A
expl,F
head,C
iobj,A
mark,R
mwe,R
neg,D
nmod,A
nmod:npmod,C
nmod:poss,E
nmod:tmod,D
nsubj,A
nsubjpass,A
nummod,E
parataxis,H
xcomp,A
